local_filepath,s3_filepath,timestamp
in/CC23/20230401a_part-to-whole_mcarr.png,visualizations/charts/20230401a_part-to-whole_mcarr.png,2023-05-22T16:35:07Z
tmp/20230401a_part-to-whole_mcarr.webp,visualizations/charts/20230401a_part-to-whole_mcarr.webp,2023-05-22T16:35:10Z
in/CC23/20230401b_part-to-whole_mcarr.png,visualizations/charts/20230401b_part-to-whole_mcarr.png,2023-05-22T16:35:13Z
tmp/20230401b_part-to-whole_mcarr.webp,visualizations/charts/20230401b_part-to-whole_mcarr.webp,2023-05-22T16:35:16Z
in/CC23/20230402_waffle_eazadpour.png,visualizations/charts/20230402_waffle_eazadpour.png,2023-05-22T16:35:18Z
tmp/20230402_waffle_eazadpour.webp,visualizations/charts/20230402_waffle_eazadpour.webp,2023-05-22T16:35:21Z
in/CC23/20230402_waffle_hcorson-dosch.png,visualizations/charts/20230402_waffle_hcorson-dosch.png,2023-05-22T16:35:23Z
tmp/20230402_waffle_hcorson-dosch.webp,visualizations/charts/20230402_waffle_hcorson-dosch.webp,2023-05-22T16:35:25Z
in/CC23/20230403_flora-fauna-aaarcher.png,visualizations/charts/20230403_flora-fauna-aaarcher.png,2023-05-22T16:35:31Z
tmp/20230403_flora-fauna-aaarcher.webp,visualizations/charts/20230403_flora-fauna-aaarcher.webp,2023-05-22T16:35:33Z
in/CC23/20230403_flora_cee.gif,visualizations/charts/20230403_flora_cee.gif,2023-05-22T16:35:36Z
tmp/20230403_flora_cee.webp,visualizations/charts/20230403_flora_cee.webp,2023-05-22T16:35:39Z
in/CC23/20230404_historical_aaarcher.png,visualizations/charts/20230404_historical_aaarcher.png,2023-05-22T16:35:42Z
tmp/20230404_historical_aaarcher.webp,visualizations/charts/20230404_historical_aaarcher.webp,2023-05-22T16:35:44Z
in/CC23/20230404_historical_eazadpour_cnell.png,visualizations/charts/20230404_historical_eazadpour_cnell.png,2023-05-22T16:35:47Z
tmp/20230404_historical_eazadpour_cnell.webp,visualizations/charts/20230404_historical_eazadpour_cnell.webp,2023-05-22T16:35:50Z
in/CC23/20230406_OWID_hcorson-dosch.png,visualizations/charts/20230406_OWID_hcorson-dosch.png,2023-05-22T16:35:53Z
tmp/20230406_OWID_hcorson-dosch.webp,visualizations/charts/20230406_OWID_hcorson-dosch.webp,2023-05-22T16:35:55Z
in/CC23/20230407_hazards_conlon_colgin.gif,visualizations/charts/20230407_hazards_conlon_colgin.gif,2023-05-22T16:35:59Z
tmp/20230407_hazards_conlon_colgin.webp,visualizations/charts/20230407_hazards_conlon_colgin.webp,2023-05-22T16:36:05Z
in/CC23/20230408_humans_hcorson-dosch.png,visualizations/charts/20230408_humans_hcorson-dosch.png,2023-05-22T16:36:09Z
tmp/20230408_humans_hcorson-dosch.webp,visualizations/charts/20230408_humans_hcorson-dosch.webp,2023-05-22T16:36:12Z
in/CC23/20230409_high-low_aaarcher.png,visualizations/charts/20230409_high-low_aaarcher.png,2023-05-22T16:36:15Z
tmp/20230409_high-low_aaarcher.webp,visualizations/charts/20230409_high-low_aaarcher.webp,2023-05-22T16:36:17Z
in/CC23/20230411_circular_jhariharan.png,visualizations/charts/20230411_circular_jhariharan.png,2023-05-22T16:36:20Z
tmp/20230411_circular_jhariharan.webp,visualizations/charts/20230411_circular_jhariharan.webp,2023-05-22T16:36:22Z
in/CC23/20230413_pop-culture_ajmartinez.gif,visualizations/charts/20230413_pop-culture_ajmartinez.gif,2023-05-22T16:36:29Z
tmp/20230413_pop-culture_ajmartinez.webp,visualizations/charts/20230413_pop-culture_ajmartinez.webp,2023-05-22T16:36:37Z
in/CC23/20230413_pop-culture_eazadpour.png,visualizations/charts/20230413_pop-culture_eazadpour.png,2023-05-22T16:36:39Z
tmp/20230413_pop-culture_eazadpour.webp,visualizations/charts/20230413_pop-culture_eazadpour.webp,2023-05-22T16:36:41Z
in/CC23/20230414_new-tool_eazadpour.gif,visualizations/charts/20230414_new-tool_eazadpour.gif,2023-05-22T16:36:48Z
tmp/20230414_new-tool_eazadpour.webp,visualizations/charts/20230414_new-tool_eazadpour.webp,2023-05-22T16:37:09Z
in/CC23/20230415_positive-negative_aaarcher01.png,visualizations/charts/20230415_positive-negative_aaarcher01.png,2023-05-22T16:37:11Z
tmp/20230415_positive-negative_aaarcher01.webp,visualizations/charts/20230415_positive-negative_aaarcher01.webp,2023-05-22T16:37:14Z
in/CC23/20230415_positive-negative_aaarcher02.png,visualizations/charts/20230415_positive-negative_aaarcher02.png,2023-05-22T16:37:19Z
tmp/20230415_positive-negative_aaarcher02.webp,visualizations/charts/20230415_positive-negative_aaarcher02.webp,2023-05-22T16:37:22Z
in/CC23/20230417_networks_hcorson-dosch.png,visualizations/charts/20230417_networks_hcorson-dosch.png,2023-05-22T16:37:28Z
tmp/20230417_networks_hcorson-dosch.webp,visualizations/charts/20230417_networks_hcorson-dosch.webp,2023-05-22T16:37:30Z
in/CC23/20230419_anthropocene_mjaenicke.png,visualizations/charts/20230419_anthropocene_mjaenicke.png,2023-05-22T16:37:33Z
tmp/20230419_anthropocene_mjaenicke.webp,visualizations/charts/20230419_anthropocene_mjaenicke.webp,2023-05-22T16:37:35Z
in/CC23/20230420a_correlation_aaarcher.png,visualizations/charts/20230420a_correlation_aaarcher.png,2023-05-23T22:39:52Z
tmp/20230420a_correlation_aaarcher.webp,visualizations/charts/20230420a_correlation_aaarcher.webp,2023-05-23T22:39:54Z
