id,released,viz-type,group,title,description,img,alt,url,utm,tags,code,
river-conditions-202307-202309,1/16/2024,,event,"River Conditions: Oct 1 to Dec 31, 2023",,river_conditions_oct_dec_2022_square_thumbnail.png,A map of all USGS streamflow gages in the U.S. with a color scale from red to blue to indicate dry to wet flow conditions.,https://www.usgs.gov/media/videos/us-river-conditions-october-december-2023,https://www.usgs.gov/media/videos/us-river-conditions-october-december-2023,,https://github.com/USGS-VIZLAB/gage-conditions-gif,
bottled-water,11/21/2023,,interactives,Water bottling across the U.S.,,bottled_water_thumbnail.webp,A map of Texas showing the count of bottled water facilities in each county.,https://labs.waterdata.usgs.gov/visualizations/bottled-water/index.html#/,https://labs.waterdata.usgs.gov/visualizations/bottled-water/index.html#/?utm_source=web&utm_medium=vizlab_home&utm_campaign=card,water use,https://github.com/DOI-USGS/vizlab-bottled-water,
drought-timeline,9/20/2023,,interactives,Five droughts that changed history,,drought_timeline_thumbnail.webp,"An image of dried, cracked mud overlain by a chart with long vertical bands representing drought events",https://labs.waterdata.usgs.gov/visualizations/drought-timeline/index.html#/,https://labs.waterdata.usgs.gov/visualizations/drought-timeline/index.html#/?utm_source=web&utm_medium=vizlab_home&utm_campaign=card,drought,https://github.com/DOI-USGS/drought-timeline,
snow-tiles-hex,1/3/2023,,chart,Tis the season to be snowy,,snow-tiles-hex.png,"A map of the contiguous U.S. using a snowflake hex pattern to show snow persistence over a 20-year period. Snow persistence is measured as the snow cover index, or the average fraction of time snow was on the ground from Jan 1 to. July 3 from 2001-2020. Snowier places are white with snow, emphasizing the Rocky Mountains and Sierra range in the western U.S., and Maine in the northeast. The majority of the southern half of the country is within a 0-10% snow cover index. Data from: https://doi.org/10.5066/P9U7U5FP ",https://www.usgs.gov/media/images/tis-season-be-snowy-data-viz,https://www.usgs.gov/media/images/tis-season-be-snowy-data-viz,,,
what-is-drought,6/22/2023,,interactives,What is streamflow drought?,,WhatIsDrought-thumbnail.webp,"An illustration of a partially dried-up streambed, wilted sunflower, and brown landscape depicting streamflow drought, which follows after meteorological and agricultural drought.",https://labs.waterdata.usgs.gov/visualizations/what-is-drought/index.html#/,https://labs.waterdata.usgs.gov/visualizations/what-is-drought/index.html#/?utm_source=web&utm_medium=vizlab_home&utm_campaign=card,drought,https://github.com/DOI-USGS/what-is-drought,
water-cycle,10/13/2022,,interactives,The Water Cycle,Zoomable version of the water cycle diagram,water-cycle-thumbnail.png,A zoomed out view of a water cycle diagram,https://labs.waterdata.usgs.gov/visualizations/water-cycle/index.html#/,https://labs.waterdata.usgs.gov/visualizations/water-cycle/index.html#/?utm_source=web&utm_medium=vizlab_home&utm_campaign=card,water cycle,https://github.com/USGS-VIZLAB/water-cycle,
pools-and-fluxes,10/13/2022,,interactives,Pools and Fluxes in the Water Cycle,All of the water on Earth,pnf-thumbnail.png,An illustration of the water cycle showing precipitation and runoff.,https://labs.waterdata.usgs.gov/visualizations/pools-and-fluxes/index.html#/,https://labs.waterdata.usgs.gov/visualizations/pools-and-fluxes/index.html#/?utm_source=web&utm_medium=vizlab_home&utm_campaign=card,water cycle,https://github.com/USGS-VIZLAB/pools-and-fluxes,
river-conditions-202210-202212,1/19/2023,,event,"River Conditions: Oct 1 to Dec 31, 2022",,river_conditions_oct_dec_2022_square_thumbnail.png,A map of all USGS streamflow gages in the U.S. with a color scale from red to blue to indicate dry to wet flow conditions.,https://www.usgs.gov/media/videos/us-river-conditions-october-december-2022,https://www.usgs.gov/media/videos/us-river-conditions-october-december-2022,,https://github.com/USGS-VIZLAB/gage-conditions-gif,
river-conditions-202110-202209,1/19/2023,,event,River Conditions: Oct 2021 to Sept 2022,,river_conditions_oct_sep_2022_square_thumbnail.png,A map of all USGS streamflow gages in the U.S. with a color scale from red to blue to indicate dry to wet flow conditions.,https://www.usgs.gov/media/videos/us-river-conditions-september-2021-october-2022,https://www.usgs.gov/media/videos/us-river-conditions-september-2021-october-2022,,https://github.com/USGS-VIZLAB/gage-conditions-gif,
river-conditions-202207-202209,10/12/2022,,event,"River Conditions: July 1 to Sept 30, 2022",,river_conditions_jul_sep_2022_square_thumbnail.png,A map of all USGS streamflow gages in the U.S. with a color scale from red to blue to indicate dry to wet flow conditions.,https://www.usgs.gov/media/videos/us-river-conditions-july-september-2022,https://www.usgs.gov/media/videos/us-river-conditions-july-september-2022,,https://github.com/USGS-VIZLAB/gage-conditions-gif,
